from_port_code,canal_port_code,to_port_code,direction
BEANR,EGSCA,AEAUH,E
BEANR,EGSCA,AEDXB,E
BEANR,EGSCA,AEJEA,E
BEANR,EGSCA,CNCAN,E
BEANR,EGSCA,CNDCB,E
BEANR,EGSCA,CNDLC,E
BEANR,EGSCA,CNFOC,E
BEANR,EGSCA,CNLYG,E
BEANR,EGSCA,CNNBO,E
BEANR,EGSCA,CNNGB,E
BEANR,EGSCA,CNNSA,E
BEANR,EGSCA,CNNSS,E
BEANR,EGSCA,CNPLI,E
BEANR,EGSCA,CNSHA,E
BEANR,EGSCA,CNSHG,E
BEANR,EGSCA,CNSHK,E
BEANR,EGSCA,CNTAO,E
BEANR,EGSCA,CNTXG,E
BEANR,EGSCA,CNXMN,E
BEANR,EGSCA,CNYTN,E
BEANR,EGSCA,CNZOS,E
BEANR,EGSCA,EGSOK,E
BEANR,EGSCA,HKHKG,E
BEANR,EGSCA,INNSA,E
BEANR,EGSCA,INNSV,E
BEANR,EGSCA,INPAV,E
BEANR,EGSCA,IQUQR,E
BEANR,EGSCA,JOAQJ,E
BEANR,EGSCA,JPHKT,E
BEANR,EGSCA,JPNGO,E
BEANR,EGSCA,JPOSA,E
BEANR,EGSCA,JPSDJ,E
BEANR,EGSCA,JPSMZ,E
BEANR,EGSCA,JPTYO,E
BEANR,EGSCA,JPUKB,E
BEANR,EGSCA,JPYOK,E
BEANR,EGSCA,JPYUR,E
BEANR,EGSCA,KRINC,E
BEANR,EGSCA,KRKAN,E
BEANR,EGSCA,KRPUS,E
BEANR,EGSCA,LKCMB,E
BEANR,EGSCA,MYPKG,E
BEANR,EGSCA,OMSOH,E
BEANR,EGSCA,PKBQM,E
BEANR,EGSCA,QAHMD,E
BEANR,EGSCA,SADMM,E
BEANR,EGSCA,SAJED,E
BEANR,EGSCA,SAJUB,E
BEANR,EGSCA,SGSIN,E
BEANR,EGSCA,THLCH,E
BEANR,EGSCA,TWKEL,E
BEANR,EGSCA,TWKHH,E
BEANR,EGSCA,VNCMP,E
BEANR,EGSCA,VNHPH,E
BEANR,EGSCA,VNVUT,E
BEZEE,EGSCA,AEAUH,E
BEZEE,EGSCA,AEDXB,E
BEZEE,EGSCA,AEJEA,E
BEZEE,EGSCA,CNCAN,E
BEZEE,EGSCA,CNDCB,E
BEZEE,EGSCA,CNDLC,E
BEZEE,EGSCA,CNFOC,E
BEZEE,EGSCA,CNLYG,E
BEZEE,EGSCA,CNNBO,E
BEZEE,EGSCA,CNNGB,E
BEZEE,EGSCA,CNNSA,E
BEZEE,EGSCA,CNNSS,E
BEZEE,EGSCA,CNPLI,E
BEZEE,EGSCA,CNSHA,E
BEZEE,EGSCA,CNSHG,E
BEZEE,EGSCA,CNSHK,E
BEZEE,EGSCA,CNTAO,E
BEZEE,EGSCA,CNTXG,E
BEZEE,EGSCA,CNXMN,E
BEZEE,EGSCA,CNYTN,E
BEZEE,EGSCA,CNZOS,E
BEZEE,EGSCA,EGSOK,E
BEZEE,EGSCA,HKHKG,E
BEZEE,EGSCA,INNSA,E
BEZEE,EGSCA,INNSV,E
BEZEE,EGSCA,INPAV,E
BEZEE,EGSCA,IQUQR,E
BEZEE,EGSCA,JOAQJ,E
BEZEE,EGSCA,JPHKT,E
BEZEE,EGSCA,JPNGO,E
BEZEE,EGSCA,JPOSA,E
BEZEE,EGSCA,JPSDJ,E
BEZEE,EGSCA,JPSMZ,E
BEZEE,EGSCA,JPTYO,E
BEZEE,EGSCA,JPUKB,E
BEZEE,EGSCA,JPYOK,E
BEZEE,EGSCA,JPYUR,E
BEZEE,EGSCA,KRINC,E
BEZEE,EGSCA,KRKAN,E
BEZEE,EGSCA,KRPUS,E
BEZEE,EGSCA,LKCMB,E
BEZEE,EGSCA,MYPKG,E
BEZEE,EGSCA,OMSOH,E
BEZEE,EGSCA,PKBQM,E
BEZEE,EGSCA,QAHMD,E
BEZEE,EGSCA,SADMM,E
BEZEE,EGSCA,SAJED,E
BEZEE,EGSCA,SAJUB,E
BEZEE,EGSCA,SGSIN,E
BEZEE,EGSCA,THLCH,E
BEZEE,EGSCA,TWKEL,E
BEZEE,EGSCA,TWKHH,E
BEZEE,EGSCA,VNCMP,E
BEZEE,EGSCA,VNHPH,E
BEZEE,EGSCA,VNVUT,E
CAHAL,EGSCA,AEAUH,E
CAHAL,EGSCA,AEDXB,E
CAHAL,EGSCA,AEJEA,E
CAHAL,EGSCA,CNCAN,E
CAHAL,EGSCA,CNDCB,E
CAHAL,EGSCA,CNDLC,E
CAHAL,EGSCA,CNFOC,E
CAHAL,EGSCA,CNLYG,E
CAHAL,EGSCA,CNNBO,E
CAHAL,EGSCA,CNNGB,E
CAHAL,EGSCA,CNNSA,E
CAHAL,EGSCA,CNNSS,E
CAHAL,EGSCA,CNPLI,E
CAHAL,EGSCA,CNSHA,E
CAHAL,EGSCA,CNSHG,E
CAHAL,EGSCA,CNSHK,E
CAHAL,EGSCA,CNTAO,E
CAHAL,EGSCA,CNTXG,E
CAHAL,EGSCA,CNXMN,E
CAHAL,EGSCA,CNYTN,E
CAHAL,EGSCA,CNZOS,E
CAHAL,EGSCA,EGSOK,E
CAHAL,EGSCA,HKHKG,E
CAHAL,EGSCA,INNSA,E
CAHAL,EGSCA,INNSV,E
CAHAL,EGSCA,INPAV,E
CAHAL,EGSCA,IQUQR,E
CAHAL,EGSCA,JOAQJ,E
CAHAL,EGSCA,JPHKT,E
CAHAL,EGSCA,JPNGO,E
CAHAL,EGSCA,JPOSA,E
CAHAL,EGSCA,JPSDJ,E
CAHAL,EGSCA,JPSMZ,E
CAHAL,EGSCA,JPTYO,E
CAHAL,EGSCA,JPUKB,E
CAHAL,EGSCA,JPYOK,E
CAHAL,EGSCA,JPYUR,E
CAHAL,EGSCA,KRINC,E
CAHAL,EGSCA,KRKAN,E
CAHAL,EGSCA,KRPUS,E
CAHAL,EGSCA,LKCMB,E
CAHAL,EGSCA,MYPKG,E
CAHAL,EGSCA,OMSOH,E
CAHAL,EGSCA,PKBQM,E
CAHAL,EGSCA,QAHMD,E
CAHAL,EGSCA,SADMM,E
CAHAL,EGSCA,SAJED,E
CAHAL,EGSCA,SAJUB,E
CAHAL,EGSCA,SGSIN,E
CAHAL,EGSCA,THLCH,E
CAHAL,EGSCA,TWKEL,E
CAHAL,EGSCA,TWKHH,E
CAHAL,EGSCA,VNCMP,E
CAHAL,EGSCA,VNHPH,E
CAHAL,EGSCA,VNVUT,E
CAPRR,EGSCA,AEAUH,E
CAPRR,EGSCA,AEDXB,E
CAPRR,EGSCA,AEJEA,E
CAPRR,EGSCA,CNCAN,E
CAPRR,EGSCA,CNDCB,E
CAPRR,EGSCA,CNDLC,E
CAPRR,EGSCA,CNFOC,E
CAPRR,EGSCA,CNLYG,E
CAPRR,EGSCA,CNNBO,E
CAPRR,EGSCA,CNNGB,E
CAPRR,EGSCA,CNNSA,E
