from_port_code,to_port_code,distance,eca_distance
AEAUH,AEDXB,4742,0
AEAUH,AEJEA,59,0
AEAUH,BEANR,6283,333
AEAUH,BEZEE,6370,420
AEAUH,CAHAL,8157,391
AEAUH,CAPRR,8063,322
AEAUH,CASJB,8433,667
AEAUH,CAVAN,8476,459
AEAUH,CNCAN,2924,0
AEAUH,CNDCB,2983,0
AEAUH,CNDLC,4073,0
AEAUH,CNFOC,3302,0
AEAUH,CNLYG,4064,0
AEAUH,CNNBO,3541,0
AEAUH,CNNGB,3541,0
AEAUH,CNNSA,2872,0
AEAUH,CNNSS,2888,0
AEAUH,CNPLI,4234,0
AEAUH,CNSHA,3554,0
AEAUH,CNSHG,3565,0
AEAUH,CNSHK,2873,0
AEAUH,CNTAO,3943,0
AEAUH,CNTXG,4204,0
AEAUH,CNXMN,3099,0
AEAUH,CNYTN,2917,0
AEAUH,CNZOS,3532,0
AEAUH,COBUN,10555,519
AEAUH,COCNR,9976,62
AEAUH,COCTG,10015,782
AEAUH,COSPC,9976,62
AEAUH,DEBRV,6532,582
AEAUH,DEHAM,6535,585
AEAUH,DEWVN,6524,574
AEAUH,DOCAU,9831,763
AEAUH,EGAKI,4697,0
AEAUH,EGDAM,3190,0
AEAUH,EGSCA,2985,0
AEAUH,EGSOK,2930,0
AEAUH,EGSUZ,2985,0
AEAUH,ESALG,4990,0
AEAUH,ESBCN,4622,0
AEAUH,ESFRO,6671,375
AEAUH,ESVLC,4767,0
AEAUH,FRBES,6836,809
AEAUH,FRDKK,6255,305
AEAUH,FRFOS,4787,0
AEAUH,FRLEH,6150,216
AEAUH,GBFXT,6328,394
AEAUH,GBLGP,6254,304
AEAUH,GBSOU,6135,185
AEAUH,GRPIR,3702,0
AEAUH,GTPRQ,9764,444
AEAUH,HKHKG,2874,0
AEAUH,ILASH,3452,0
AEAUH,ILHFA,4728,0
AEAUH,INNSA,2999,0
AEAUH,INNSV,5032,0
AEAUH,INPAV,3114,0
AEAUH,IQUQR,491,0
AEAUH,ITGOA,4576,0
AEAUH,ITLIV,4643,0
AEAUH,ITSAL,4962,0
AEAUH,ITSPE,4619,0
AEAUH,ITVDL,4588,0
AEAUH,JOAQJ,2880,0
AEAUH,JPHKT,4367,0
AEAUH,JPNGO,4217,0
AEAUH,JPOSA,4017,0
AEAUH,JPSDJ,4540,0
AEAUH,JPSMZ,4281,0
AEAUH,JPTYO,4267,0
AEAUH,JPUKB,4130,0
AEAUH,JPYOK,4417,0
AEAUH,JPYUR,4157,0
AEAUH,KRINC,4009,0
AEAUH,KRKAN,3936,0
AEAUH,KRPUS,3933,0
AEAUH,LKCMB,2108,0
AEAUH,MAPTM,5097,0
AEAUH,MATNG,5022,0
AEAUH,MNTNG,5097,0
