vessel_capacity,sea_speed,bunker_consumption
2500,14.0,38.455255225483
2500,14.5,41.322836148937
2500,15.0,44.335371158123
2500,15.5,47.494989056811
2500,16.0,50.803778562317
2500,16.5,54.263790318746
2500,17.0,57.877038749806
2500,17.5,61.645503768434
2500,18.0,65.571132358142
2500,18.5,69.655840039093
2500,19.0,73.901512230257
2500,19.5,78.310005517591
2500,20.0,82.883148837045
2500,20.5,87.56875919191438
2500,21.0,92.43089387084783
2510,14.0,38.512469200309
2510,14.5,41.385142919136
2510,15.0,44.403028160718
2510,15.5,47.568257509561
2510,16.0,50.882923392521
2510,16.5,54.349080095626
2510,17.0,57.968745620182
2510,17.5,61.743903395431
2510,18.0,65.676503862708
2510,18.5,69.768465944123
2510,19.0,74.021678407129
2510,19.5,78.438001134963
2510,20.0,83.019266311746
2510,20.5,87.71319826428767
2510,21.0,92.583968046348
2520,14.0,38.569538419312
2520,14.5,41.447292048342
2520,15.0,44.470513985816
2520,15.5,47.641340587406
2520,16.0,50.961867980126
2520,16.5,54.434154082713
2520,17.0,58.060220465017
2520,17.5,61.84205406369
2520,18.0,65.781608769143
2520,18.5,69.880806896821
2520,19.0,74.141540554193
2520,19.5,78.56567291343
2520,20.0,83.155039398609
2520,20.5,87.85727189453077
2520,21.0,92.73665493223253
2530,14.0,38.626462882492
2530,14.5,41.509283536556
2530,15.0,44.537828633415
2530,15.5,47.714238290346
2530,16.0,51.040612325133
2530,16.5,54.519012280006
2530,17.0,58.151463284311
2530,17.5,61.939955773212
2530,18.0,65.886447077445
2530,18.5,69.992862897188
2530,19.0,74.261098671448
2530,19.5,78.693020852994
2530,20.0,83.290468097635
2530,20.5,88.00098008264524
2530,21.0,92.88895452850335
2540,14.0,38.683242589849
2540,14.5,41.571117383777
2540,15.0,44.604972103516
2540,15.5,47.786950618381
2540,16.0,51.11915642754
2540,16.5,54.603654687505
2540,17.0,58.242474078064
2540,17.5,62.037608523995
2540,18.0,65.991018787614
2540,18.5,70.104633945222
2540,19.0,74.380352758895
2540,19.5,78.820044953653
2540,20.0,83.425552408824
2540,20.5,88.14432282863076
2540,21.0,93.04086683516027
2550,14.0,38.739877541384
2550,14.5,41.632793590006
2550,15.0,44.671944396119
2550,15.5,47.859477571511
2550,16.0,51.197500287348
2550,16.5,54.688081305211
2550,17.0,58.333252846275
2550,17.5,62.135012316041
2550,18.0,66.095323899652
2550,18.5,70.216120040924
2550,19.0,74.499302816534
2550,19.5,78.946745215409
2550,20.0,83.560292332176
2550,20.5,88.28730013248804
2550,21.0,93.19239185220405
2560,14.0,38.796367737096
2560,14.5,41.694312155242
2560,15.0,44.738745511224
2560,15.5,47.931819149735
2560,16.0,51.275643904558
