field,value
algorithm,wsgoh/mip_twostage_v10_numpy
status,ok
solution_file,wsgoh_mip_twostage_v10_numpy_solution.json
logs_file,wsgoh_mip_twostage_v10_numpy_logs.txt
actual_port_calls,1025
bunker_cost,299924401.7351338
bunker_cost_by_inlane_sail,285529153.634149
bunker_cost_by_outlane_sail,8048419.080119091
bunker_cost_by_port_stay,6346829.020869341
canal_fee_cost,73915577.66370998
num_virtual_vessels,0
opportunity_cost,0.0
service_lane_coverage_rate,1.0
slot_utilization_deployed_teu_days,144783583.33333334
slot_utilization_rate,1.0
slot_utilization_required_teu_days,144783583.33333334
total_cost,377799472.3988438
total_port_calls,1025
transshipment_cost,3959493.0
transshipment_count,6
vessel_available_days,12806.0
vessel_drydock_days,112.0
vessel_service_days,7941.520833333328
vessel_utilization_rate,0.6201406241865788
elapsed_seconds,16.893887751999955
input_dir,/app/instances/toy_v1
input_dir_name,toy_v1
outputs_run_dir,260617_0011
planning_horizon_end,2027-01-01 00:00:00
planning_horizon_start,2026-03-10 19:30:00
position_declaration_summary,"{""format"": ""ocam_position_declaration_summary_v1"", ""rows"": [{""lane_code"": ""EC1"", ""proforma_name"": ""8102"", ""available_positions"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], ""selected_positions"": [7, 9, 10, 11, 12, 13, 14], ""required_count"": 7, ""declared_count"": 14, ""effective_from_date"": ""2026-07-02 00:00:00""}, {""lane_code"": ""EC2"", ""proforma_name"": ""8201"", ""available_positions"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], ""selected_positions"": [7, 8, 9, 10, 11, 12, 13], ""required_count"": 7, ""declared_count"": 13, ""effective_from_date"": ""2026-08-15 00:00:00""}, {""lane_code"": ""FE1"", ""proforma_name"": ""5102"", ""available_positions"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], ""selected_positions"": [8, 10, 11, 12, 13], ""required_count"": 5, ""declared_count"": 13, ""effective_from_date"": ""2026-07-01 00:00:00""}, {""lane_code"": ""FE2"", ""proforma_name"": ""5202"", ""available_positions"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""selected_positions"": [7, 8, 9, 10, 11, 12], ""required_count"": 6, ""declared_count"": 12, ""effective_from_date"": ""2026-07-05 00:00:00""}, {""lane_code"": ""PS1"", ""proforma_name"": ""7102"", ""available_positions"": [1, 2, 3, 4, 5, 6, 7, 8, 9], ""selected_positions"": [5, 6, 7, 8, 9], ""required_count"": 5, ""declared_count"": 9, ""effective_from_date"": ""2026-07-22 00:00:00""}, {""lane_code"": ""WA1"", ""proforma_name"": ""6102"", ""available_positions"": [1, 2, 3, 4, 5, 6, 7, 8], ""selected_positions"": [6, 7, 8], ""required_count"": 3, ""declared_count"": 8, ""effective_from_date"": ""2026-08-05 00:00:00""}]}"
postprocessed,True
scenario_name,toy_scenario_v1
validation_status,passed
